proto,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,category
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
,,,,,,,,,,,class
udp,108105.0,0.647574,63.0,2.773753,4.0,3.689029,100.0,0.0,0.72423,4.173676,DDoS
tcp,235767.0,0.123918,61.0,3.719905,1.0,3.843823,100.0,0.0,0.344779,3.967741,DDoS
udp,67259.0,1.345533,93.0,2.11197,4.0,4.014606,100.0,0.0,0.996041,4.9918239999999985,DDoS
tcp,135844.0,0.132711,86.0,0.0,3.0,0.07662000000000001,100.0,0.0,0.094621,0.30648200000000003,DDoS
udp,157031.0,0.631234,100.0,2.716483,4.0,3.609182,100.0,0.0,0.470008,4.055612,DDoS
tcp,214390.0,0.050581,28.0,3.313481,3.0,3.364062,100.0,0.0,0.206279,3.414642,DDoS
tcp,125963.0,0.0,87.0,0.0,3.0,0.0,100.0,0.0,0.098282,0.0,DDoS
udp,181728.0,0.640012,100.0,2.749602,4.0,3.654711,100.0,0.0,0.729631,4.1098940000000015,DDoS
tcp,67543.0,1.285684,100.0,0.0,3.0,1.285684,100.0,0.0,0.04949,2.571367,DDoS
tcp,210213.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
udp,33242.0,0.975013,97.0,2.02674,4.0,3.405396,100.0,0.0,0.490605,4.116007,DDoS
udp,260324.0,0.02401,61.0,4.022011,4.0,4.046021,100.0,0.0,0.494387,4.070031,DDoS
udp,21935.0,0.454692,100.0,3.990254,4.0,4.339046,100.0,0.0,0.8390209999999999,4.981286,DDoS
udp,154605.0,0.629703,52.0,2.719769,4.0,3.610301,100.0,0.0,0.469911,4.05585,DDoS
tcp,170536.0,2.014355,98.0,0.0,3.0,2.014355,100.0,0.0,0.138572,4.02871,DDoS
tcp,91849.0,0.16226400000000002,79.0,3.251466,1.0,3.480695,100.0,0.188632,0.505265,3.604572,DDoS
udp,66484.0,1.906877,89.0,0.0,4.0,2.696648,99.0,0.0,0.394984,4.063315,DDoS
udp,44767.0,1.911721,100.0,0.0,4.0,2.70358,100.0,0.0,0.493462,4.057187,DDoS
udp,102121.0,0.632501,23.0,2.762343,4.0,3.656834,99.0,0.0,0.729305,4.104107,DDoS
udp,32200.0,0.853858,29.0,2.878186,4.0,3.956118,100.0,0.0,1.0125620000000002,4.9664220000000014,DDoS
tcp,153324.0,0.109874,90.0,0.0,1.0,0.054937,100.0,0.0,0.11215,0.27468400000000004,DDoS
udp,204782.0,1.6719849999999998,100.0,0.0,4.0,2.039569,100.0,0.0,0.408885,4.095414,DDoS
tcp,41764.0,0.040401,96.0,0.0,1.0,0.040401,100.0,0.0,0.207746,0.080802,DDoS
udp,27299.0,0.649453,100.0,2.7697830000000003,4.0,3.688068,100.0,0.0,0.723887,4.162948,DDoS
tcp,247169.0,0.022759,100.0,3.926739,3.0,3.949498,100.0,0.0,0.250468,3.972257,DDoS
udp,53411.0,0.676725,32.0,2.687225,4.0,3.643799,100.0,0.0,0.732838,4.14774,DDoS
udp,48116.0,0.647896,100.0,2.777146,4.0,3.693335,100.0,0.0,0.723896,4.161697,DDoS
tcp,123493.0,0.088992,81.0,3.64489,3.0,3.733887,100.0,0.0,0.269457,3.822884,DDoS
tcp,84726.0,2.420827,80.0,0.0,1.0,2.420827,100.0,0.0,0.2039,4.841655,DDoS
tcp,70233.0,0.031075,82.0,3.602078,3.0,3.633152,100.0,0.0,0.27171300000000004,3.664227,DDoS
tcp,2216.0,0.001632,100.0,0.0,1.0,0.001632,100.0,0.0,0.22856,0.003264,DDoS
tcp,171129.0,1.874376,26.0,0.0,3.0,2.649681,100.0,0.0,0.25416,4.040273,DDoS
tcp,123536.0,2.3911290000000003,92.0,0.0,1.0,2.3911290000000003,100.0,0.0,0.210514,4.782259,DDoS
udp,48415.0,1.0042879999999998,24.0,1.965535,4.0,3.385261,100.0,0.0,0.490888,4.129415,DDoS
udp,214786.0,1.922445,64.0,0.0,4.0,2.718714,100.0,0.0,0.49076,4.089842,DDoS
tcp,23265.0,0.0,36.0,0.0,3.0,0.0,100.0,0.0,0.101748,0.0,DDoS
tcp,213502.0,0.0,71.0,0.29053,1.0,0.29053,100.0,0.0,3.441985,0.29053,DDoS
udp,8260.0,0.993675,41.0,2.022097,4.0,3.426838,100.0,0.0,0.485712,4.1625260000000015,DDoS
tcp,170678.0,1.954034,100.0,0.0,1.0,2.668683,100.0,0.0,0.34184000000000003,4.624292,DDoS
udp,21181.0,0.997057,100.0,2.022159,4.0,3.431806,100.0,0.0,0.485693,4.165924,DDoS
udp,82639.0,0.6471979999999999,57.0,2.774417,4.0,3.689477,100.0,0.0,0.724371,4.164267,DDoS
tcp,59110.0,1.258281,100.0,0.0,3.0,1.258281,100.0,0.0,0.049964,2.516562,DDoS
tcp,235504.0,0.248894,100.0,2.963978,1.0,3.315749,100.0,0.0,0.374864,3.5023150000000003,DDoS
tcp,36033.0,1.68857,76.0,0.0,3.0,2.387791,100.0,0.0,0.282853,3.608907,DDoS
tcp,9328.0,0.098556,91.0,3.4455690000000003,1.0,3.56768,100.0,0.0,0.354366,3.686931,DDoS
udp,18681.0,0.6340979999999999,64.0,2.75942,4.0,3.656141,100.0,0.0,0.729193,4.110882,DDoS
tcp,178487.0,0.133423,36.0,0.0,1.0,0.094344,100.0,0.0,0.10482,0.283033,DDoS
udp,112716.0,0.049361,89.0,3.898474,4.0,3.96825,100.0,0.0,0.852784,4.0046550000000005,DDoS
tcp,108772.0,1.891087,36.0,0.0,3.0,1.09182,100.0,0.0,0.093991,4.367279,DDoS
udp,86940.0,1.414233,100.0,1.981431,4.0,3.981362,100.0,0.0,1.003352,4.998387,DDoS
tcp,248276.0,0.0,48.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
udp,102892.0,1.8697580000000005,100.0,0.993729,4.0,3.637838,100.0,0.0,1.004812,4.982458,DDoS
tcp,68656.0,1.925382,90.0,0.0,1.0,2.720622,100.0,0.0,0.275792,4.177416,DDoS
udp,137187.0,2.024257,61.0,0.0,4.0,2.851526,100.0,0.0,0.395815,4.4964260000000005,DDoS
tcp,150219.0,0.488848,100.0,3.319575,1.0,3.743967,100.0,0.0,0.338799,4.428789,DDoS
udp,132405.0,2.034173,61.0,0.0,4.0,2.863951,100.0,0.0,0.396039,4.530727,DDoS
udp,28238.0,0.454565,66.0,3.986566,4.0,4.340771,100.0,0.0,0.839551,4.982468,DDoS
tcp,251435.0,0.1253,36.0,3.369311,3.0,3.494611,100.0,0.0,0.284335,3.619911,DDoS
tcp,81285.0,0.124052,100.0,3.269229,1.0,3.384919,100.0,0.0,0.342093,3.5569839999999995,DDoS
udp,193180.0,1.951505,100.0,0.0,4.0,2.759835,100.0,0.0,0.484432,4.14613,DDoS
tcp,190183.0,0.071245,100.0,3.896595,3.0,3.96784,100.0,0.0,0.24841,4.039085,DDoS
udp,6128.0,1.735917,100.0,0.0,4.0,3.00665,100.0,0.0,0.8380690000000001,4.023898,DDoS
tcp,90295.0,1.411592,42.0,0.0,3.0,1.996263,100.0,0.0,0.328487,3.003787,DDoS
udp,31708.0,0.8540190000000001,100.0,2.878186,4.0,3.957988,100.0,0.0,1.012153,4.9664480000000015,DDoS
tcp,46102.0,1.619629,58.0,0.0,1.0,2.271413,100.0,0.147102,0.462697,3.662681,DDoS
tcp,185724.0,0.110193,43.0,0.0,1.0,0.055096000000000006,100.0,0.0,0.126683,0.275482,DDoS
tcp,143240.0,0.060324,100.0,4.004461,3.0,4.064785,100.0,0.0,0.207348,4.125108999999999,DDoS
tcp,211416.0,1.846371,100.0,0.0,1.0,2.611038,100.0,0.0,0.33167800000000003,3.938707,DDoS
udp,217991.0,1.280515,100.0,1.3912639999999998,4.0,3.20215,100.0,0.0,0.728871,4.117319,DDoS
tcp,51404.0,1.544498,100.0,0.0,1.0,2.673508,100.0,0.280033,0.421781,3.637803,DDoS
tcp,53800.0,0.089383,100.0,0.0,1.0,0.089383,100.0,0.0,0.166949,0.178766,DDoS
tcp,111306.0,0.0,83.0,0.0,3.0,0.0,100.0,0.0,0.099125,0.0,DDoS
tcp,96784.0,1.899927,76.0,0.0,3.0,2.63843,100.0,0.0,0.271308,4.397645,DDoS
tcp,140542.0,0.073988,56.0,4.002167,3.0,4.076142,100.0,0.0,0.207,4.150118,DDoS
tcp,189729.0,0.074405,100.0,3.896606,3.0,3.971011,100.0,0.0,0.248515,4.045417,DDoS
tcp,127928.0,1.522044,98.0,0.0,3.0,2.148607,100.0,0.0,0.307668,3.334899,DDoS
udp,129353.0,0.820198,100.0,2.985448,4.0,3.989757,100.0,0.0,1.002483,4.994514,DDoS
udp,245037.0,1.924564,100.0,0.0,4.0,2.721701,100.0,0.0,0.490735,4.095935,DDoS
tcp,10201.0,2.083081,59.0,0.0,1.0,1.47296,100.0,0.0,0.20407,4.418881,DDoS
tcp,29986.0,1.9413,100.0,0.0,1.0,2.7426630000000003,100.0,0.0,0.312444,4.220372,DDoS
tcp,46980.0,1.657457,86.0,0.0,3.0,1.171999,100.0,0.0,0.204462,3.515997,DDoS
udp,92200.0,1.912887,100.0,0.0,4.0,2.705225,100.0,0.0,0.411194,4.062397,DDoS
tcp,193044.0,1.903296,78.0,0.0,1.0,2.6916330000000004,100.0,0.124047,0.41366,4.049146,DDoS
udp,76026.0,1.10291,100.0,2.62536,4.0,4.184844,100.0,0.0,0.960995,4.989601,DDoS
tcp,172426.0,0.14868299999999998,100.0,3.658861,1.0,3.85543,100.0,0.0,0.318041,4.018379,DDoS
udp,137854.0,1.3665040000000002,100.0,1.978646,4.0,3.911159,100.0,0.0,1.024757,4.884257,DDoS
tcp,93104.0,1.409194,100.0,0.0,3.0,1.992747,100.0,0.0,0.328483,3.010513,DDoS
udp,144380.0,0.647041,40.0,2.771131,4.0,3.685174,100.0,0.0,0.724629,4.179435,DDoS
tcp,170051.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
udp,141299.0,0.798104,100.0,2.756129,4.0,3.848123,100.0,0.0,0.629292,4.641344,DDoS
tcp,234827.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
udp,95094.0,1.370004,54.0,1.969906,4.0,3.907369,100.0,0.0,1.025439,4.882757,DDoS
tcp,51729.0,0.205642,100.0,3.17777,1.0,3.461892,100.0,0.0,0.34988,3.657708,DDoS
udp,44056.0,0.302453,100.0,3.496526,4.0,3.924216,100.0,0.0,0.600767,4.1433860000000005,DDoS
udp,107248.0,1.367722,100.0,1.976457,4.0,3.910694,100.0,0.0,1.025031,4.884357,DDoS
tcp,173423.0,1.449085,100.0,0.0,3.0,2.049194,100.0,0.0,0.322121,3.093136,DDoS
udp,84093.0,0.967678,79.0,2.034462,4.0,3.40281,100.0,0.0,0.4906970000000001,4.104832,DDoS
udp,68044.0,1.9204,100.0,0.0,4.0,2.715822,100.0,0.0,0.393412,4.085646,DDoS
udp,36324.0,0.940626,100.0,2.044393,4.0,3.374638,100.0,0.0,0.423838,4.040095,DDoS
tcp,87143.0,1.920885,73.0,0.0,3.0,2.666435,100.0,0.0,0.27209,4.449419,DDoS
tcp,132167.0,0.123902,100.0,0.0,1.0,0.101143,100.0,0.038864,0.137681,0.25695300000000004,DDoS
tcp,105405.0,1.6504029999999998,40.0,0.0,1.0,1.026517,100.0,0.0,0.117824,3.880651,DDoS
tcp,100474.0,1.904668,100.0,0.0,3.0,2.64602,100.0,0.0,0.271461,4.405583,DDoS
udp,89821.0,0.891408,100.0,3.071194,4.0,4.331524,100.0,0.0,0.932405,4.985951,DDoS
udp,22230.0,0.994322,60.0,2.027804,4.0,3.43358,100.0,0.0,0.485508,4.165756,DDoS
udp,235421.0,0.298861,61.0,4.060402,4.0,4.3592629999999986,100.0,0.0,0.465275,4.658124,DDoS
tcp,100982.0,0.046592,87.0,0.170477,1.0,0.217069,100.0,0.096334,0.289002,0.26366,DDoS
udp,260289.0,0.020471,61.0,4.028997,4.0,4.0495160000000014,100.0,0.0,0.494386,4.070034,DDoS
udp,195269.0,2.129184,66.0,0.0,4.0,2.9711830000000004,100.0,0.0,0.841233,4.880088,DDoS
tcp,141661.0,0.14465,100.0,0.0,1.0,0.083514,100.0,0.0,0.093518,0.334056,DDoS
udp,146431.0,1.367703,100.0,1.976352,4.0,3.910563,100.0,0.0,1.024831,4.88351,DDoS
udp,24258.0,1.375277,100.0,1.957439,4.0,3.902317,100.0,0.0,0.8782110000000001,4.887715,DDoS
tcp,176065.0,1.856892,52.0,0.0,3.0,2.623457,100.0,0.0,0.254769,4.036076,DDoS
tcp,19329.0,0.295586,100.0,3.015206,3.0,3.429955,100.0,0.0,0.293771,3.682556,DDoS
tcp,63792.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.08516699999999999,0.0,DDoS
tcp,68071.0,1.401101,100.0,0.0,3.0,1.981373,100.0,0.0,0.331717,2.987727,DDoS
